feature,f_score,mi_score,rf_importance,f_score_norm,mi_score_norm,rf_importance_norm,composite_score
MagpieData avg_dev GSvolume_pa,13511.424329292498,0.6763446181191162,0.6061684989443595,1.0,0.7903406721257055,0.6061684989443595,0.7988363903566883
max ionic char,12252.956210420803,0.8006079431225244,0.001997995703000057,0.9068524454735211,0.9355482440834556,0.001997995703000057,0.6147995617533256
MagpieData range Electronegativity,11676.241855435745,0.8109870439079367,0.0010168613475072625,0.8641659991332377,0.9476767142021586,0.0010168613475072625,0.6042865248943011
MagpieData range GSvolume_pa,10730.179407434573,0.8453816972986266,0.001770660566245812,0.7941416559344189,0.9878684932894596,0.001770660566245812,0.5945936032633747
MagpieData range CovalentRadius,9322.54758738958,0.8127446383427426,0.01650277339823971,0.6899535086586628,0.949730546419811,0.01650277339823971,0.5520622761589045
avg ionic char,10193.937159192094,0.6829879090441375,0.002496361491220455,0.754450818074854,0.7981036717477167,0.002496361491220455,0.5183502837712637
MagpieData avg_dev Electronegativity,9003.787593907555,0.6644783969187333,0.004519142272425446,0.6663599718590594,0.7764744314728507,0.004519142272425446,0.4824511818681118
MagpieData maximum GSvolume_pa,9228.76593586368,0.6272462831800865,0.0019819578702868794,0.6830121079444961,0.7329669457790997,0.0019819578702868794,0.47265367053129426
MagpieData maximum Electronegativity,9523.306775103027,0.5996753015845111,4.89790897205281e-05,0.7048130248464832,0.7007489498911295,4.89790897205281e-05,0.46853698460911103
MagpieData mean NUnfilled,6606.175807310028,0.6834318395714574,0.07633989020089246,0.4888968551726752,0.7986224255633599,0.07633989020089246,0.45461972364564257
MagpieData range MendeleevNumber,6448.55962681938,0.7441523091867612,0.0033601877984996455,0.4772306384872092,0.8695771659160004,0.0033601877984996455,0.4500559974005698
MagpieData range SpaceGroupNumber,7805.950440377639,0.6173471077749682,0.0006413463145535214,0.5777001163576696,0.7213992911640177,0.0006413463145535214,0.43324691794541365
MagpieData avg_dev SpaceGroupNumber,7225.57854122798,0.6270263581723974,0.004941747415381047,0.5347429509666641,0.7327099530068683,0.004941747415381047,0.4241315504629712
MagpieData minimum CovalentRadius,7219.378159587843,0.6090318789498155,0.0005615810818281014,0.534284019684855,0.7116825530360109,0.0005615810818281014,0.415509384600898
MagpieData avg_dev CovalentRadius,6229.187956415078,0.645145933695038,0.006344045282053545,0.46099348927053296,0.7538835339204288,0.006344045282053545,0.40707368949100514
MagpieData avg_dev MendeleevNumber,6215.198358866623,0.6411369905744113,0.003563553930400247,0.45995802656718177,0.7491988942920673,0.003563553930400247,0.4042401582632164
MagpieData minimum Electronegativity,6220.28055641278,0.6357190374547925,0.0026451716755623586,0.4603341936436028,0.7428677598446414,0.0026451716755623586,0.40194904172126883
0-norm,9769.202432148697,0.4014712358103818,0.002811543706484388,0.7230133898609117,0.46913812551936773,0.002811543706484388,0.3983210196955879
MagpieData avg_dev NdValence,6755.987697840148,0.5828797670203496,0.003997879124892624,0.4999854247062289,0.6811225734544176,0.003997879124892624,0.39503529242851304
MagpieData range AtomicWeight,3465.245535413685,0.7717938420489592,0.0006909919717222876,0.2564158178082621,0.9018776042955468,0.0006909919717222876,0.386328138025177
MagpieData minimum MendeleevNumber,4847.4558438748545,0.6788777260320593,0.004204740700198954,0.35872235076189873,0.7933007285183326,0.004204740700198954,0.38540927332681013
MagpieData avg_dev Column,4274.487532185916,0.701764075973311,0.0030383533865526204,0.31631317387878427,0.8200445107714907,0.0030383533865526204,0.3797986793456092
MagpieData range Column,5945.4586389677215,0.5553173077567215,0.025446872672351895,0.43999280465137597,0.6489145363143679,0.025446872672351895,0.3714514045460319
MagpieData minimum MeltingT,4996.614421784049,0.6319515881669382,0.00021162733976458814,0.3697625643044917,0.7384653171806592,0.00021162733976458814,0.36947983627497183
MagpieData minimum SpaceGroupNumber,7084.693472463904,0.46886507255046794,0.0002817115861119315,0.5243151145933166,0.547891010955811,0.0002817115861119315,0.35749594571174653
MagpieData maximum CovalentRadius,4927.898744066245,0.5996689597470248,0.002208605983514036,0.3646764622085707,0.7007415391541071,0.002208605983514036,0.35587553578206393
MagpieData range MeltingT,610.8142825588831,0.8557633966881841,0.0020786854069874913,0.045140469008992115,1.0,0.0020786854069874913,0.34907305147199313
MagpieData avg_dev NpValence,4295.877273631659,0.6161267328934636,0.007490276076368063,0.31789637020910605,0.7199732254007152,0.007490276076368063,0.34845329056206303
MagpieData mean MeltingT,3945.793426958897,0.636003283228229,0.003611841534463247,0.2919843477209819,0.7431999144735218,0.003611841534463247,0.3462653679096557
MagpieData mode MeltingT,2983.380528063595,0.6948594166668056,0.0002630027596353604,0.22074979943762044,0.8119760898350186,0.0002630027596353604,0.3443296306774248
MagpieData mode GSvolume_pa,2537.6751636917984,0.7076312452381082,0.0017906468607432197,0.18776019556288068,0.8269005755289962,0.0017906468607432197,0.33881713931754004
MagpieData mode AtomicWeight,2232.596093735168,0.7199379119701677,0.00017715157834581456,0.16517927445925276,0.841281497615272,0.00017715157834581456,0.33554597455095686
MagpieData mode Number,2247.251566449821,0.7132042329045492,5.208144928391167e-05,0.1662640229906843,0.8334128751763152,5.208144928391167e-05,0.33324299320542783
MagpieData mode CovalentRadius,2849.039115481171,0.6532598222868753,0.00012030570702375047,0.21080630236682862,0.7633649964639755,0.00012030570702375047,0.32476386817927594
MagpieData mode Electronegativity,3029.5117114235136,0.6389687168188236,0.00030275830715502546,0.22416427363283611,0.7466651638661354,0.00030275830715502546,0.3237107319353755
2-norm,4214.818755287763,0.5585704656369312,0.0040005874858967715,0.3118966927885584,0.6527160051465235,0.0040005874858967715,0.32287109514032625
MagpieData minimum Number,3539.6280423118237,0.5960741927807622,0.00013361813067951363,0.2619213594371772,0.696540883949439,0.00013361813067951363,0.31953195383909855
MagpieData range Number,3782.443676149873,0.5778832092728576,0.0011546267651994073,0.27989375154917573,0.6752838594280539,0.0011546267651994073,0.31877741258080966
MagpieData minimum AtomicWeight,3356.872245706351,0.5964998003695645,7.377322913711019e-05,0.24839439337895003,0.6970382265448917,7.377322913711019e-05,0.3151687977176596
MagpieData maximum MendeleevNumber,2675.5567494136226,0.6320239238417944,0.0005194745159724696,0.1979657242780109,0.738549844837645,0.0005194745159724696,0.31234501454387614
3-norm,3264.556653835218,0.5918667298733258,0.0018782156569029707,0.2415615054428058,0.6916242645617445,0.0018782156569029707,0.3116879952204844
MagpieData mean NdUnfilled,3868.4592153424774,0.5474621732598512,0.0021879545985364337,0.28626033089029645,0.6397354401678516,0.0021879545985364337,0.3093945752188948
MagpieData avg_dev NsUnfilled,4013.988974997846,0.4902255421835915,0.04714288573003833,0.29703195157694323,0.5728517299066201,0.04714288573003833,0.3056755224045339
MagpieData mode MendeleevNumber,805.0068352438403,0.7221612857064379,0.0003944463247656187,0.05951394507771913,0.8438796149744331,0.0003944463247656187,0.30126266879230595
MagpieData mean SpaceGroupNumber,2089.8113126177964,0.6337278929532415,0.00296406364401094,0.15461082780157648,0.7405410133288909,0.00296406364401094,0.2993719682581594
5-norm,2527.127980837499,0.5931575446120467,0.0011211985603294993,0.18697952875433058,0.6931326426294633,0.0011211985603294993,0.2937444566480411
