category_detailed,count,mean,median,std,min,max
Cuprate,5910,56.58,58.0,30.4,0.01,275.0
MgB2-type,138,31.05,35.05,9.73,4.0,41.4
Hydrogen-rich,69,22.33,6.0,53.58,0.22,294.0
Iron-pnictide,1124,22.17,20.0,14.68,0.2,287.0
Iron-chalcogenide,267,17.78,13.1,11.04,1.9,46.0
Organic,72,15.34,13.0,11.15,0.02,36.38
Iron-based,205,14.55,5.32,24.74,0.02,130.0
Other,5721,13.75,4.05,26.0,0.01,148.35
Niobium-nitride,81,12.51,13.8,5.0,1.2,17.9
Borocarbide,308,11.04,8.75,8.55,1.3,38.5
Bismuthate,253,10.05,5.24,8.94,0.5,31.5
Niobium-based,994,9.79,8.8,5.81,0.02,30.0
Mercury-cuprate,1,7.7,7.7,,7.7,7.7
Heavy-fermion,560,5.85,1.83,14.49,0.03,114.0
Niobium-selenide,45,5.53,3.35,5.15,1.17,18.4
Elemental,60,4.72,2.92,6.99,0.02,47.83
Cobaltate,33,3.88,4.16,0.84,2.0,4.81
Ruthenate,4,0.89,0.86,0.43,0.46,1.36
